,(1)Hub Batu Maung,(352)Balai Polis,(851)Institut Penyelidikan Perikanan,(1190)Muzium Perang,(1347)SMK Batu Maung,(1742)Jejantas SK Batu Maung,(2050)Tadika Smart Reader,(2386)Kampung Bukit Kecil,(2759)Taman Gembira,(3336)Taman Desa Wangsa,(3819)Permatang Damar Laut 2,(4131)Sekolah Memandu Damar Laut,(4919)Surau Kampung Binjai,(5227)Kampung Binjai ,(5725)Jejantas SMK Bayan Lepas,(6205)Masjid Kampung Seronok,(6504)SJK(T) Bayan Lepas,(6831)Seri Bayu,(7012)Bayu Mutiara,(7463)SK Bayan Lepas,(7727)Kampung Perlis,(7935)Klinik Kesihatan Bayan Lepas,(8148)JPAM Bayan Lepas,(8384)Setia Triangle,(8741)Lengkok Kelicap,(9334)Klinik Menara,(9520)Setia Triangle,(9745)Taman Nuri I,(10026)Pasar MBPP,(10165)SK Mutiara Perdana,(10921)Tingkat Kenari,(11307)Kem Sungai Ara 2,(11708)SMK Sungai Ara,(11977)SK Agama Sungai Ara,(12562)Kampung Sungai Ara,(13147)Klinik Kesihatan,(13551)Hospital Pantai Mutiara,(13737)Giant Bayan Baru,(13934)Pasaraya Giant,(14286)Masjid Bayan Baru,(14500)Sunshine Square,(14752)KFC Jalan Mahsuri,(15016)Mayang Mall,(15438)Spice,(15913)Setia Welcome Center,(16256)SRJK Min Sin,(16576)Bukit Jambul Golf Club,(16877)Masjid Sungai Nibong Kecil,(17314)Kompleks Bukit Jambul,(18067)Kompleks Makanan,(18680)Pangsapuri Golf View,(19483)SMK Bukit Jambul,(20461)USM,(20788)Lapang Sasar Bukit Gambir,(21202)Petronas,(22108)SMK Bukit Gambir,(22488)Jalan Permai 1,(22883)Perumahan Kastam,(23365)Taman Tun Sardon,(23775)Astaka Taman Tun Sardon,(24147)Anggerik Villa,(24466)Maybank Gelugor,(24831)KTM Motor,(25279)Recsam,(26565)Lebuh Raya Gelugor I,(26942)Lebuh Raya Gelugor II,(27202)Pasar Batu Lanchang I,(27991)Balai Polis Jelutong,(28236)Asrama Munshi,(28423)Sunshine Jelutong,(28583)Old Town Café,(29043)Hong Leong Bank Jelutong,(29250)Taman Cemerlang,(29393)Maybank Jelutong,(29774)SJK(C) MOH GHEE Cawangan,(30140)Sungai Pinang,(30633)Apartmen Taman Seri Petani,(30867)Apartmen Taman Sri Pinang,(31131)Flat PPR Jalan Sungai,(31570)Persimpangan Jalan S.P Chelliah,(32247)Presgrave Corner,(32593)Komtar,(32934)Lebuh Carnavon,(33170)Hotel Armenian,(33394)Kampung Kolam,(33721)Little India,(34054)Container Hotel,(34269)Jejantas Terminal Feri,(34677)Pejabat Pos Besar P.Pinang,(34808)Pejabat Pos Besar P.Pinang 1,(34897)Balai Polis,(35153)Swettenham Pier Cruise Terminal,(35384)Church Street Pier,(35743)JETTY A
(3819)Permatang Damar Laut 2,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(4131)Sekolah Memandu Damar Laut,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(4919)Surau Kampung Binjai,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(5227)Kampung Binjai ,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(5725)Jejantas SMK Bayan Lepas,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(6205)Masjid Kampung Seronok,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(6504)SJK(T) Bayan Lepas,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4
(6831)Seri Bayu,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4
(7012)Bayu Mutiara,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4
(7463)SK Bayan Lepas,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4
(7727)Kampung Perlis,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4
(7935)Klinik Kesihatan Bayan Lepas,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(8148)JPAM Bayan Lepas,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(8384)Setia Triangle,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(8741)Lengkok Kelicap,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(9334)Klinik Menara,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(9520)Setia Triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(9745)Taman Nuri I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(10026)Pasar MBPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(10165)SK Mutiara Perdana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(10921)Tingkat Kenari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(11307)Kem Sungai Ara 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(11708)SMK Sungai Ara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(11977)SK Agama Sungai Ara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(12562)Kampung Sungai Ara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(13147)Klinik Kesihatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(13551)Hospital Pantai Mutiara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(13737)Giant Bayan Baru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(13934)Pasaraya Giant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
