,(1)The Summit,(832)Plaza Utama,(1318)Sunway Wellesley,(1874)Kampung Permatang Rawa,(2092)KTM Bukit Mertajam,(2411)Caltex Permatang Rawa,(3087)Perda Timur,(3486)Perda Utama,(4290)KPJ Perda,(4531)Masjid Perda,(4845)Nashmir Perda,(6367)Pangsapuri Seri Pauh,(7192)Petron Permatang Pauh,(7454)Kampung Belah 2,(7895)UITM Permatang Pauh,(8229)Kampung Pertama,(8653)Kampung Batu Dua,(9018)Klinik Desa Kampung Pertama,(9272)SK Tok Kandu,(9810)Permatang Janggus,(10003)Masjid Permatang Janggus,(10306)Permatang Janggus 2,(10601)Kompleks Fareeda,(10905)Taman Arowana Emas,(11197)Taman Arowana,(11503)Pasar Malam Arowana,(12096)PPR Ampang Jajar,(12545)Taman Ampang Jajar,(12946)Kawasan Industri Mak Mandin,(13444)Gold Coin Mak Mandin,(14147)Shell Mak Mandin,(14518)Taman Bagan,(14694)Taman Bagan II,(14896)Taman Bagan III,(15319)Pasaraya Billion,(15601)Pangsapuri Telaga Emas,(16430)Dataran Pemuda Merdeka,(16816)Jabatan Pertanian,(17375)Taman Selat,(17664)Maybank Butterworth,(18607)Penang Sentral
(6367)Pangsapuri Seri Pauh,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(7192)Petron Permatang Pauh,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(7454)Kampung Belah 2,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00
(7895)UITM Permatang Pauh,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00
(8229)Kampung Pertama,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00
(8653)Kampung Batu Dua,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00
(9018)Klinik Desa Kampung Pertama,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00
(9272)SK Tok Kandu,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00
(9810)Permatang Janggus,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00
(10003)Masjid Permatang Janggus,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00
(10306)Permatang Janggus 2,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00
(10601)Kompleks Fareeda,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00
(10905)Taman Arowana Emas,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(11197)Taman Arowana,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(11503)Pasar Malam Arowana,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(12096)PPR Ampang Jajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(12545)Taman Ampang Jajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(12946)Kawasan Industri Mak Mandin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(13444)Gold Coin Mak Mandin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(14147)Shell Mak Mandin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(14518)Taman Bagan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(14694)Taman Bagan II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(14896)Taman Bagan III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(15319)Pasaraya Billion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40
(15601)Pangsapuri Telaga Emas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40
(16430)Dataran Pemuda Merdeka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40
(16816)Jabatan Pertanian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40
(17375)Taman Selat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40
(17664)Maybank Butterworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40
(18607)Penang Sentral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
